review_id,industry_type,review_category,review_text,sentiment_label,source,contributor
1,IT系スタートアップ,残業,裁量労働制が導入されており、自分でスケジュールを組める分、残業はほぼ発生しない。,positive,synthetic,teacher
2,IT系スタートアップ,残業,プロダクトの締め切り前でも過度な深夜残業はなく、チームで早めに調整し合う文化が根付いている。,positive,synthetic,teacher
3,IT系スタートアップ,残業,入社前は残業が多いと覚悟していたが、タスク管理がしっかりしているおかげで定時退社できる日がほとんどだ。,positive,synthetic,teacher
4,IT系スタートアップ,残業,残業ゼロとは言えないが、月10時間程度に収まっており、プライベートの時間もきちんと確保できている。,positive,synthetic,teacher
5,IT系スタートアップ,残業,エンジニアの生産性を大切にする社風で、長時間労働を美徳とする雰囲気が一切ない。,positive,synthetic,teacher
6,IT系スタートアップ,残業,忙しい時期でも翌日以降で調整できるフレックス制のおかげで、残業のストレスをほとんど感じない。,positive,synthetic,teacher
7,IT系スタートアップ,残業,スタートアップ特有のスピード感はあるが、残業が続く場合は上長がすぐに声をかけてくれるので安心できる。,positive,synthetic,teacher
8,IT系スタートアップ,残業,リリース直前は多少残業することもあるが、それ以外は業務量が適切にコントロールされていて無理がない。,positive,synthetic,teacher
9,IT系スタートアップ,残業,裁量労働制が導入されており、自分でタスクを管理できるので、無駄な残業がほとんど発生しない点は非常に助かっています。,positive,synthetic,teacher
10,IT系スタートアップ,残業,プロダクト優先の文化が根付いているおかげか、会議が少なく集中して作業できるため、定時に仕事を終えられる日が多いです。,positive,synthetic,teacher
11,IT系スタートアップ,残業,残業が当たり前の文化で、定時に帰ると白い目で見られる雰囲気がある。,negative,synthetic,teacher
12,IT系スタートアップ,残業,スタートアップだからと言い訳されるが、月の残業が80時間を超えることも珍しくない。,negative,synthetic,teacher
13,IT系スタートアップ,残業,深夜にチャットで業務連絡が来るのが普通で、精神的に休まる時間がない。,negative,synthetic,teacher
14,IT系スタートアップ,残業,リリース前後は特にひどく、終電を逃すことが続いて体力的に限界を感じた。,negative,synthetic,teacher
15,IT系スタートアップ,残業,サービス残業が暗黙の了解になっていて、残業代を申請しにくい雰囲気がある。,negative,synthetic,teacher
16,IT系スタートアップ,残業,少人数ゆえに一人あたりの業務量が多く、毎日2〜3時間の残業は覚悟しておくべきだ。,negative,synthetic,teacher
17,IT系スタートアップ,残業,納期が近づくと休日出勤も求められるため、プライベートの予定がまったく立てられない。,negative,synthetic,teacher
18,IT系スタートアップ,残業,入社前は裁量労働制と説明されたが、実態は長時間労働の隠れ蓑になっている。,negative,synthetic,teacher
19,IT系スタートアップ,残業,スタートアップらしく「みんなでやり切ろう」という空気が強く、定時に上がりにくい雰囲気が常態化していた。,negative,synthetic,teacher
20,IT系スタートアップ,残業,リリース前後は当たり前のように深夜まで作業が続き、残業代も出ないまま気合いで乗り切ることを求められる。,negative,synthetic,teacher
21,IT系スタートアップ,残業,残業は多めだが、プロジェクトの山場が過ぎれば落ち着くので、波があると思えば許容範囲かもしれない。,neutral,synthetic,teacher
22,IT系スタートアップ,残業,月によって全然違い、繁忙期は終電になることもあれば、閑散期はほぼ定時で帰れる。,neutral,synthetic,teacher
23,IT系スタートアップ,残業,残業代はきちんと出るので生活への影響は抑えられているが、精神的な疲労感は正直あなどれない。,neutral,synthetic,teacher
24,IT系スタートアップ,残業,やりたい仕事ができている分、遅くまで働くことへの抵抗は薄いが、それが当たり前になりつつあるのが少し気になる。,neutral,synthetic,teacher
25,IT系スタートアップ,残業,チームや担当プロダクトによって残業量に大きな差があり、同期でも状況がまったく異なる。,neutral,synthetic,teacher
26,IT系スタートアップ,残業,強制されているわけではないが、周囲のペースに合わせると自然と退勤が遅くなってしまう。,neutral,synthetic,teacher
27,IT系スタートアップ,残業,スタートアップらしく裁量はあるものの、締め切り前は結局深夜まで粘ることになる。,neutral,synthetic,teacher
28,IT系スタートアップ,残業,残業自体の量より、いつ終わるかが読めない不確実さが、慣れるまでしんどかった。,neutral,synthetic,teacher
29,IT系スタートアップ,残業,プロジェクトの山場には深夜残業が続くこともあるが、閑散期はほぼ定時で帰れるため、トータルで見ると極端に多いとも少ないとも言いにくい。,neutral,synthetic,teacher
30,IT系スタートアップ,残業,裁量労働制なので残業代という概念自体が曖昧で、やりがいを感じているときは気にならないが、モチベーションが落ちると同じ時間でも損した気分になる。,neutral,synthetic,teacher
31,IT系スタートアップ,給与,スキルに見合った報酬をしっかり評価してくれる会社で、入社してから年収が大きく上がった。,positive,synthetic,teacher
32,IT系スタートアップ,給与,給与水準は業界平均を上回っており、特にエンジニア職には手厚い待遇が用意されている。,positive,synthetic,teacher
33,IT系スタートアップ,給与,成果主義を採用しているため、頑張れば頑張るほど給料に反映されるのが嬉しい。,positive,synthetic,teacher
34,IT系スタートアップ,給与,ストックオプションもあり、将来的な収入アップが期待できる点もモチベーションになっている。,positive,synthetic,teacher
35,IT系スタートアップ,給与,半期ごとの評価制度があり、実力次第で昇給のチャンスが多く用意されている点が気に入っている。,positive,synthetic,teacher
36,IT系スタートアップ,給与,入社時の給与交渉にも柔軟に対応してもらえ、希望に近い条件で働けているのはありがたい。,positive,synthetic,teacher
37,IT系スタートアップ,給与,大手と比べても引けを取らない給与水準で、福利厚生も含めるとむしろ充実していると感じる。,positive,synthetic,teacher
38,IT系スタートアップ,給与,毎年の昇給率が想像以上に高く、数年でかなり年収が伸びるのを実感できた。,positive,synthetic,teacher
39,IT系スタートアップ,給与,スタートアップにしては基本給が高く、半年ごとの評価で着実に上がっていく仕組みが整っているのは素直にありがたい。,positive,synthetic,teacher
40,IT系スタートアップ,給与,頑張りが給与にしっかり反映される評価制度で、ストックオプションも含めると大手に引けを取らない水準だと感じている。,positive,synthetic,teacher
41,IT系スタートアップ,給与,スタートアップということで給与は低めと覚悟していたが、2年経っても昇給がほぼなく、正直モチベーションの維持が難しくなってきた。,negative,synthetic,teacher
42,IT系スタートアップ,給与,ストックオプションで報われると入社時に説明されたが、上場の見通しが立たず、現状の給与だけで生活するのはかなり厳しい。,negative,synthetic,teacher
43,IT系スタートアップ,給与,残業時間が多い割に給与が見合っておらず、時給換算すると同業他社より明らかに低い水準だと気づいてしまった。,negative,synthetic,teacher
44,IT系スタートアップ,給与,評価制度が不透明で、成果を出しても給与への反映が薄く、頑張り続ける意欲がだんだん失われていく。,negative,synthetic,teacher
45,IT系スタートアップ,給与,「成長環境」という言葉で入社を決めたものの、給与面では大手との差が想像以上に大きく、転職を考え始めている。,negative,synthetic,teacher
46,IT系スタートアップ,給与,賞与がほとんど出ない期もあり、固定給だけでは将来の生活設計に不安を感じる。,negative,synthetic,teacher
47,IT系スタートアップ,給与,市場価値のあるスキルが身につく点は良いが、同レベルのエンジニアが他社でもらっている額と比べると相当な差がある。,negative,synthetic,teacher
48,IT系スタートアップ,給与,入社前の給与提示は悪くなかったが、昇給幅が小さく、物価上昇を考えると実質的に年々目減りしている感覚だ。,negative,synthetic,teacher
49,IT系スタートアップ,給与,スタートアップならではのやりがいは感じられるものの、給与水準が業界平均を大きく下回っており、長く働き続けることへの不安が拭えない。,negative,synthetic,teacher
50,IT系スタートアップ,給与,昇給の基準が明文化されておらず、頑張りが報酬に反映されているという実感が持てないまま2年が過ぎてしまった。,negative,synthetic,teacher
51,IT系スタートアップ,給与,ストックオプションがある分、基本給は業界水準より低めだが、将来に賭けるという意味では一概に損とも言い切れない。,neutral,synthetic,teacher
52,IT系スタートアップ,給与,給与は可もなく不可もなくといった水準で、同規模のスタートアップと比べると特段低くも高くもない印象だ。,neutral,synthetic,teacher
53,IT系スタートアップ,給与,賞与は業績次第で大きく変動するため年収が読みにくく、安定を求める人には向かないが上振れする年もある。,neutral,synthetic,teacher
54,IT系スタートアップ,給与,基本給は大手と比べると見劣りするものの、裁量給の仕組みがあり頑張り次第で変わってくる余地は一応ある。,neutral,synthetic,teacher
55,IT系スタートアップ,給与,入社時の交渉で多少上げてもらえたが、その後の昇給がほぼ据え置きで、満足とも不満とも言いにくい状況が続いている。,neutral,synthetic,teacher
56,IT系スタートアップ,給与,市場価値と照らすと若干低い気もするが、残業がほぼ発生しない点を加味すると時給換算では悪くない水準かもしれない。,neutral,synthetic,teacher
57,IT系スタートアップ,給与,評価の基準が曖昧で給与改定が上長の裁量に左右される部分が大きく、実力が報酬に直結しているとは言い難い。,neutral,synthetic,teacher
58,IT系スタートアップ,給与,フルリモート手当や書籍購入補助など福利厚生は手厚い一方で月の固定給は低めで、トータルの満足度は人によって分かれそうだ。,neutral,synthetic,teacher
59,IT系スタートアップ,給与,基本給は業界水準と比べるとやや低めだが、ストックオプションを加味すると一概に悪いとも言えず、最終的な評価が難しいところ。,neutral,synthetic,teacher
60,IT系スタートアップ,給与,評価制度によって給与の振れ幅がかなり大きく、自分の成果や時期次第で体感がかなり変わるため、満足とも不満とも断言しにくい。,neutral,synthetic,teacher
61,IT系スタートアップ,成長,入社半年でチームリーダーを任され、大企業では考えられないスピードで成長できていると実感している。,positive,synthetic,teacher
62,IT系スタートアップ,成長,若手でも裁量が大きく、自分のアイデアをプロダクトに反映できる環境が自分を急速に育ててくれた。,positive,synthetic,teacher
63,IT系スタートアップ,成長,新技術をキャッチアップする文化が根付いており、業務を通じてエンジニアとしてのスキルが着実に伸びている。,positive,synthetic,teacher
64,IT系スタートアップ,成長,失敗しても責める風土がなく、試行錯誤を繰り返すなかで自然と問題解決力が身についてきた。,positive,synthetic,teacher
65,IT系スタートアップ,成長,上司との距離が近く、週次の1on1で的確なフィードバックをもらえるため、課題を素早く克服できる。,positive,synthetic,teacher
66,IT系スタートアップ,成長,入社1年でバックエンドだけでなくインフラまで触れるようになり、フルスタックに近い経験が積めた。,positive,synthetic,teacher
67,IT系スタートアップ,成長,組織がフラットなぶん、自分で考えて動かないといけない場面が多く、それが結果的に大きな成長につながっている。,positive,synthetic,teacher
68,IT系スタートアップ,成長,社内勉強会や外部カンファレンスへの参加を会社が積極的に支援してくれるので、最前線の知識を常にアップデートできる。,positive,synthetic,teacher
69,IT系スタートアップ,成長,入社半年でチームリーダーを任され、スタートアップならではのスピードで確実にスキルが身についていると感じる。,positive,synthetic,teacher
70,IT系スタートアップ,成長,技術的な挑戦を歓迎する文化があり、自分のペースで新しい領域に踏み込める環境が成長を後押ししてくれている。,positive,synthetic,teacher
71,IT系スタートアップ,成長,入社時はスキルアップできると聞いていたが、実際は同じ作業の繰り返しで、1年以上経っても技術的な成長を感じられない。,negative,synthetic,teacher
72,IT系スタートアップ,成長,上司が忙しすぎてフィードバックをもらえる機会がほぼなく、自分が正しい方向に成長できているのか不安が続いている。,negative,synthetic,teacher
73,IT系スタートアップ,成長,スタートアップならではのスピード感はあるが、その分じっくり学ぶ余裕がなく、表面的なこなし方しか身につかない気がする。,negative,synthetic,teacher
74,IT系スタートアップ,成長,研修制度が整っておらず、全て自己学習任せ。業務時間外に自分で勉強しないと置いていかれる雰囲気がつらい。,negative,synthetic,teacher
75,IT系スタートアップ,成長,新しい技術に触れる機会があると聞いていたのに、実際は古いコードの保守ばかりで、キャリアの停滞を感じはじめた。,negative,synthetic,teacher
76,IT系スタートアップ,成長,メンター制度が名ばかりで、担当者も手一杯のため実質的なサポートはゼロに近く、孤独に業務をこなすだけになっている。,negative,synthetic,teacher
77,IT系スタートアップ,成長,社内に技術的に尊敬できる先輩がおらず、誰に聞けばいいかわからないまま時間だけが過ぎていく。,negative,synthetic,teacher
78,IT系スタートアップ,成長,プロダクトの成長を優先するあまり、個人のスキルアップは完全に後回しにされており、エンジニアとして将来が心配になってきた。,negative,synthetic,teacher
79,IT系スタートアップ,成長,入社当初は成長できると期待していたが、実際は同じ作業の繰り返しで、スキルアップの機会がほとんどない。,negative,synthetic,teacher
80,IT系スタートアップ,成長,常に人手不足で目の前のタスクをこなすだけで精一杯になり、新しい技術を学ぶ余裕がまったく持てなかった。,negative,synthetic,teacher
81,IT系スタートアップ,成長,成長できる環境は整っているが、それを活かせるかどうかは完全に自分次第だと感じる。,neutral,synthetic,teacher
82,IT系スタートアップ,成長,技術的なスキルは確実に伸びたが、それが激務と引き換えだったかどうか、今でも判断がつかない。,neutral,synthetic,teacher
83,IT系スタートアップ,成長,裁量が大きい分、成長できるかどうかは個人の資質に左右される部分が大きい。,neutral,synthetic,teacher
84,IT系スタートアップ,成長,新しい技術に触れる機会は多いが、体系的に学べる仕組みがないため、成長の深さにムラが出る。,neutral,synthetic,teacher
85,IT系スタートアップ,成長,スピード感のある環境で経験値は積めたと思うが、じっくり基礎を固める時間はなかった。,neutral,synthetic,teacher
86,IT系スタートアップ,成長,入社前と比べて確かに成長はしたが、その成長が自分の望む方向かと聞かれると少し迷う。,neutral,synthetic,teacher
87,IT系スタートアップ,成長,フェーズによって求められることが変わるため、成長実感は時期によってかなり異なる。,neutral,synthetic,teacher
88,IT系スタートアップ,成長,上を見ればロールモデルになりそうな先輩もいるが、教わる機会が少ないのが正直なところ。,neutral,synthetic,teacher
89,IT系スタートアップ,成長,スキルアップの機会自体は多いが、それを活かせるかは完全に本人次第で、成長できる人とそうでない人の差が大きい。,neutral,synthetic,teacher
90,IT系スタートアップ,成長,事業フェーズの変化が早いため幅広い経験は積めるものの、一つひとつを深く掘り下げる余裕があるかというと、正直なところ微妙だ。,neutral,synthetic,teacher
91,IT系スタートアップ,社風,フラットな組織で、入社直後から自分の意見を臆せず発言できる雰囲気があり、それが仕事のやりがいにつながっている。,positive,synthetic,teacher
92,IT系スタートアップ,社風,スピード感を大切にしながらも失敗を責めない文化が根付いており、新しいことに挑戦しやすい環境だと感じる。,positive,synthetic,teacher
93,IT系スタートアップ,社風,週次の全社MTGでは経営陣が直接事業の現状を共有してくれるので、会社の方向性が見えやすく安心感がある。,positive,synthetic,teacher
94,IT系スタートアップ,社風,チーム間の壁が低く、エンジニアとデザイナーが気軽に連携できるので、プロダクトへの一体感が生まれやすい。,positive,synthetic,teacher
95,IT系スタートアップ,社風,リモートと出社を柔軟に選べるだけでなく、各自の裁量で働き方を決められる点が、自律心を育ててくれる。,positive,synthetic,teacher
96,IT系スタートアップ,社風,入社後すぐにコアな業務を任せてもらえたことで、自分が会社の成長に貢献しているという実感を持ちやすい。,positive,synthetic,teacher
97,IT系スタートアップ,社風,経営陣との距離が近く、施策について率直にフィードバックをもらえる機会が多いため、成長スピードが速い。,positive,synthetic,teacher
98,IT系スタートアップ,社風,多様なバックグラウンドを持つメンバーが集まっているため、日々の議論から新しい視点を吸収できる刺激的な環境だ。,positive,synthetic,teacher
99,IT系スタートアップ,社風,フラットな組織で年齢や役職に関係なく意見を言いやすく、若手でも裁量を持って働ける環境が整っている。,positive,synthetic,teacher
100,IT系スタートアップ,社風,チーム全体の雰囲気が明るく部署を超えた交流も活発なので、入社直後から職場に馴染みやすかった。,positive,synthetic,teacher
101,IT系スタートアップ,社風,経営陣の方針が突然変わることが多く、現場は常に振り回されている印象だった。,negative,synthetic,teacher
102,IT系スタートアップ,社風,フラットな組織と言いながら実態は創業メンバーだけで意思決定が完結しており、後から入社した社員の意見はほぼ通らない。,negative,synthetic,teacher
103,IT系スタートアップ,社風,スピード重視の文化が行き過ぎて、品質や社員の体調への配慮がまったく感じられなかった。,negative,synthetic,teacher
104,IT系スタートアップ,社風,ミッションやバリューを頻繁に語る割に、日々の業務でそれが体現されている場面を一度も見たことがない。,negative,synthetic,teacher
105,IT系スタートアップ,社風,社内コミュニケーションがSlackに依存しすぎており、深夜や休日でも既読を求められる空気があって消耗した。,negative,synthetic,teacher
106,IT系スタートアップ,社風,上司によって評価基準が全く異なり、成果よりも声の大きさや存在感で評価が決まる雰囲気がある。,negative,synthetic,teacher
107,IT系スタートアップ,社風,「家族のような会社」という言葉を入社前によく聞かされたが、実際は馴れ合いと属人化が蔓延しているだけだった。,negative,synthetic,teacher
108,IT系スタートアップ,社風,採用時に「裁量がある」と強調されたが、重要な判断はすべて特定の古参メンバーに集中しており、裁量を感じる場面はほとんどなかった。,negative,synthetic,teacher
109,IT系スタートアップ,社風,スタートアップらしい自由な社風と聞いていたが、実態はルールも評価基準もなく、声の大きい人間の意見だけが通る雰囲気で息苦しかった。,negative,synthetic,teacher
110,IT系スタートアップ,社風,少数精鋭を謳っているが要は人手不足を美化しているだけで、チームワークより個人プレーが優先される殺伐とした空気が漂っていた。,negative,synthetic,teacher
111,IT系スタートアップ,社風,自由な雰囲気は好きだが、その分ルールが曖昧で何が正解かわからないことも多い。,neutral,synthetic,teacher
112,IT系スタートアップ,社風,風通しは良いと思うが、経営陣の方針が変わりやすく、チームの方向性が定まらない印象もある。,neutral,synthetic,teacher
113,IT系スタートアップ,社風,フラットな組織で発言しやすい半面、責任の所在がはっきりしないまま物事が進むことがある。,neutral,synthetic,teacher
114,IT系スタートアップ,社風,スピード感があって刺激的ではあるものの、落ち着いて仕事に集中できる環境かと聞かれると迷う。,neutral,synthetic,teacher
115,IT系スタートアップ,社風,挑戦を歓迎する文化自体は悪くないが、それが当然という空気になっていて、少し息苦しさを感じることもある。,neutral,synthetic,teacher
116,IT系スタートアップ,社風,横のつながりは強く居心地は悪くないが、部署によって文化がかなり違うため一言では語れない。,neutral,synthetic,teacher
117,IT系スタートアップ,社風,裁量を持って動けるのはありがたいが、サポート体制が薄く、孤独に感じる場面も正直ある。,neutral,synthetic,teacher
118,IT系スタートアップ,社風,オープンで明るい雰囲気だと思うが、変化が激しすぎて馴染む前に環境が変わってしまうことも多い。,neutral,synthetic,teacher
119,IT系スタートアップ,社風,自由な雰囲気は好きだが、方針がよく変わるので人によって合う合わないがはっきり分かれそうだ。,neutral,synthetic,teacher
120,IT系スタートアップ,社風,フラットな組織で発言はしやすい一方、責任の所在が曖昧になりがちで、慣れるまでは戸惑うこともある。,neutral,synthetic,teacher
121,IT系スタートアップ,人間関係,チームの雰囲気が良く、年齢や役職に関係なく意見を言い合える文化が根付いている。,positive,synthetic,teacher
122,IT系スタートアップ,人間関係,エンジニアとデザイナーの垣根が低く、日常的に気軽に相談し合える関係が心地よい。,positive,synthetic,teacher
123,IT系スタートアップ,人間関係,入社直後から先輩が親身にフォローしてくれて、職場に馴染むのに時間がかからなかった。,positive,synthetic,teacher
124,IT系スタートアップ,人間関係,上司との距離感がちょうどよく、業務の相談だけでなくキャリアについても話しやすい雰囲気がある。,positive,synthetic,teacher
125,IT系スタートアップ,人間関係,フラットな組織なので部署を超えたつながりが自然に生まれやすく、社内に知り合いが増えた。,positive,synthetic,teacher
126,IT系スタートアップ,人間関係,週次の振り返りを重ねるうちにメンバー同士の信頼関係が着実に育まれていると実感している。,positive,synthetic,teacher
127,IT系スタートアップ,人間関係,同僚がお互いの成長を応援し合う雰囲気があり、競争より協力を大切にする文化が自分に合っている。,positive,synthetic,teacher
128,IT系スタートアップ,人間関係,ランチや社内イベントで普段関わらないメンバーとも交流できるため、自然と人間関係の幅が広がった。,positive,synthetic,teacher
129,IT系スタートアップ,人間関係,フラットな組織なので入社直後からエンジニアもデザイナーも気軽に話せる雰囲気があり、チーム全体で助け合う文化が根付いていると感じる。,positive,synthetic,teacher
130,IT系スタートアップ,人間関係,スタートアップらしく年齢や肩書きに関係なく意見を言い合える関係性で、困ったときにすぐ相談できる同僚がいるのはとても心強い。,positive,synthetic,teacher
131,IT系スタートアップ,人間関係,少人数のチームなのに派閥があり、エンジニア同士の情報共有がほとんど行われない雰囲気だった。,negative,synthetic,teacher
132,IT系スタートアップ,人間関係,創業メンバーと後から入社した社員の間に見えない壁があり、重要な意思決定から外されることが多かった。,negative,synthetic,teacher
133,IT系スタートアップ,人間関係,上司へのフィードバックは建前上は歓迎されているが、実際に意見を言うと明らかに態度が変わる。,negative,synthetic,teacher
134,IT系スタートアップ,人間関係,リモート主体の職場で、チャットでのコミュニケーションが淡白すぎて、誰が何を考えているのかまったく読めない。,negative,synthetic,teacher
135,IT系スタートアップ,人間関係,スタートアップ特有のノリについていける人だけが評価される空気があり、合わない人は自然と孤立していく。,negative,synthetic,teacher
136,IT系スタートアップ,人間関係,技術力より経営陣との距離感で評価が決まるような雰囲気があり、実力主義とは程遠い人間関係だった。,negative,synthetic,teacher
137,IT系スタートアップ,人間関係,同僚間の競争意識が強く、困ったときに助け合うというカルチャーがほぼ存在しない。,negative,synthetic,teacher
138,IT系スタートアップ,人間関係,気づいたら会議に呼ばれなくなっており、自分が疎外されていることに後から気づくような職場だった。,negative,synthetic,teacher
139,IT系スタートアップ,人間関係,少人数のチームなのに派閥があり、創業メンバーとそれ以外で明らかに扱いが違うと感じることが多かった。,negative,synthetic,teacher
140,IT系スタートアップ,人間関係,エンジニア同士のコミュニケーションがSlackだけで完結していて、隣に座っていても会話がなく、孤立感を覚えた。,negative,synthetic,teacher
141,IT系スタートアップ,人間関係,チームの雰囲気は悪くないが、プロジェクトの忙しさによって関係性が大きく変わるため、安定感はあまりない。,neutral,synthetic,teacher
142,IT系スタートアップ,人間関係,個人の裁量が大きい分、助け合いの文化は薄めで、慣れれば問題ないが最初は孤独を感じることもある。,neutral,synthetic,teacher
143,IT系スタートアップ,人間関係,優秀な人が多く刺激にはなるが、競争意識も強く、純粋な仲間意識とは少し異なる雰囲気がある。,neutral,synthetic,teacher
144,IT系スタートアップ,人間関係,上司との距離は近くフラットな関係ではあるものの、忙しさから相談しづらい場面も正直あった。,neutral,synthetic,teacher
